"variable_name","toolkit_canada_pct","omd_weighted_pct","difference","pct_difference"
"chickdeli",9.21890942890859,9.21890942890855,-3.19744231092045e-14,-3.46835201666472e-13
"turkdeli",16.2706424208666,16.2706424208666,-5.6843418860808e-14,-3.49361859172248e-13
"hamdeli",36.2000489376372,36.2000489376371,-1.49213974509621e-13,-4.12192742519978e-13
"beefdeli",10.8153618739138,10.8153618739138,-3.19744231092045e-14,-2.95638957641587e-13
"odeli",12.0198794755791,12.0198794755791,-2.30926389122033e-14,-1.92120386557292e-13
"hotdog",28.935306328975,28.9353063289749,-8.17124146124115e-14,-2.82396922581002e-13
"pate",8.02275577829456,8.02275577829454,-2.30926389122033e-14,-2.87839235673608e-13
"organ",4.21285681046544,4.21285681046543,-1.15463194561016e-14,-2.74073389520827e-13
"vliver",1.44240227006578,1.44240227006577,-4.88498130835069e-15,-3.38669829473294e-13
"rawliver",0.102466806969612,0.102466806969611,-2.4980018054066e-16,-2.43786439656251e-13
"oorgan",1.5486656487813,1.54866564878129,-5.10702591327572e-15,-3.29769431981308e-13
"goat",2.00789886886545,2.00789886886545,-5.32907051820075e-15,-2.65405324980929e-13
"lamb",7.65971610539361,7.65971610539359,-2.57571741713036e-14,-3.36268000235239e-13
"horse",0.392500282042523,0.392500282042521,-1.16573417585641e-15,-2.97002124378122e-13
"driedmeat",19.3924516562225,19.3924516562224,-9.2370555648813e-14,-4.7632221694452e-13
"deer",3.2,3.21607955013912,0.0160795501391151,0.502485941847347
"huntedmeats",3.4,2.79402867953558,-0.605971320464415,-17.8226858960122
"sausage",30.8,30.846498332422,0.0464983324219972,0.150968611759731
"seafood",59.4052999898842,59.4052999898839,-3.05533376376843e-13,-5.14320063073279e-13
"anyfish",49.0073997767787,49.0073997767785,-1.35003119794419e-13,-2.75474969921559e-13
"fishsmoke",12.1036014928115,12.1036014928114,-3.01980662698043e-14,-2.49496534463229e-13
"fishraw",12.4813388675929,12.4813388675928,-3.37507799486048e-14,-2.70409932032507e-13
"shellfish",28.7581691296296,28.7581691296295,-5.32907051820075e-14,-1.85306320933699e-13
"mussels",4.61771522129725,4.61771522129724,-1.24344978758018e-14,-2.69278144707861e-13
"clams",3.06663854282255,3.06663854282255,-7.99360577730113e-15,-2.60663448452707e-13
"shrimp",25.9032558140564,25.9032558140564,-6.03961325396085e-14,-2.33160391007043e-13
"oysters",3.39497048666082,3.39497048666082,-6.66133814775094e-15,-1.96211960425694e-13
"oysters_r",1.45244457141421,1.4524445714142,-3.99680288865056e-15,-2.75177653406696e-13
"egg",88.0914425053494,88.0914425053491,-3.12638803734444e-13,-3.54902581729728e-13
"eggraw",26.2796676122654,26.2796676122653,-1.10134124042816e-13,-4.19084920204291e-13
"icecream",56.798434276812,56.7984342768118,-1.91846538655227e-13,-3.37767301331313e-13
"milkdess",45.989120407024,45.9891204070238,-2.20268248085631e-13,-4.78957297152369e-13
"milkunpas",4.42462588622968,4.42462588622966,-1.4210854715202e-14,-3.2117641311617e-13
"yogurt",66.9784279137467,66.9784279137465,-2.27373675443232e-13,-3.3947299529938e-13
"anycheese",89.7284844324112,89.7284844324108,-3.83693077310454e-13,-4.27615689418531e-13
"gouda",13.7368816192816,13.7368816192815,-2.1316282072803e-14,-1.5517555340131e-13
"feta",30.0378307164039,30.0378307164039,1.77635683940025e-14,5.91373210725955e-14
