"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"pepperoni",229,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Pepperoni*",TRUE
"kielbasa",230,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Saucisse Kielbasa*",TRUE
"sausage",231,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Saucisses*",TRUE
"Q90",232,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Shawarma ou viande à donair*",FALSE
"seafood",234,"POISSONS & FRUITS DE MER","Produits de la mer",FALSE
"anyfish",235,"POISSONS & FRUITS DE MER","Poisson",FALSE
"fishsmoke",236,"POISSONS & FRUITS DE MER","Poisson fumé",FALSE
"fishraw",237,"POISSONS & FRUITS DE MER","Poisson cru",FALSE
"shellfish",238,"POISSONS & FRUITS DE MER","Mollusques",FALSE
"mussels",239,"POISSONS & FRUITS DE MER","Moules",FALSE
"clams",240,"POISSONS & FRUITS DE MER","Palourdes",FALSE
"shrimp",241,"POISSONS & FRUITS DE MER","Crevettes/langoustines",FALSE
"oysters",242,"POISSONS & FRUITS DE MER","Huîtres",FALSE
"oysters_r",243,"POISSONS & FRUITS DE MER","Huîtres crues",FALSE
"scallops",244,"POISSONS & FRUITS DE MER","Pétoncles*",TRUE
"crab",245,"POISSONS & FRUITS DE MER","Crabe*",TRUE
"lobster",246,"POISSONS & FRUITS DE MER","Homard*",TRUE
"egg",248,"EGGS","Œufs",FALSE
"eggraw",249,"EGGS","Crus ou pas assez cuits",FALSE
"icecream",251,"PRODUITS LAITIERS / SUBSTITUTS","Crème glacée",FALSE
"milkdess",252,"PRODUITS LAITIERS / SUBSTITUTS","Desserts contenant du lait ou de la crème",FALSE
"milkunpas",253,"PRODUITS LAITIERS / SUBSTITUTS","Produit laitier non pasteurisé (cru) (excluant le fromage)",FALSE
"yogurt",254,"PRODUITS LAITIERS / SUBSTITUTS","Yogourt",FALSE
"milkpas",255,"PRODUITS LAITIERS / SUBSTITUTS","Lait pasteurisé*",TRUE
"pwdmilk",256,"PRODUITS LAITIERS / SUBSTITUTS","Lait en poudre*",TRUE
"whipcream",257,"PRODUITS LAITIERS / SUBSTITUTS","Crème à fouetter/fouettée*",TRUE
"sourcream",258,"PRODUITS LAITIERS / SUBSTITUTS","Crème sure*",TRUE
"anycheese",260,"CHEESE","Fromage",FALSE
"gouda",261,"CHEESE","Gouda",FALSE
"feta",262,"CHEESE","Feta",FALSE
"scheese",263,"CHEESE","Brie, camembert ou autre fromage à pâte molle",FALSE
"gcheese",264,"CHEESE","Fromage de lait de chèvre",FALSE
"cheeseunp",265,"CHEESE","Fromage fait de lait non pasteurisé",FALSE
"cheddar",266,"CHEESE","Cheddar*",TRUE
"mozz",267,"CHEESE","Mozzarella*",TRUE
"parm",268,"CHEESE","Parmesan*",TRUE
"hrdcheese",269,"CHEESE","Fromage généralement vendu en bloc /meule*",TRUE
"procheese",270,"CHEESE","Fromage transformé*",TRUE
"bvcheese",271,"CHEESE","Fromages à pâte persillée*",TRUE
"fcheese",272,"CHEESE","Cottage, ricotta ou autre fromage frais*",TRUE
"gscheese",273,"CHEESE","Fromage de lait de chèvre/brebis*",TRUE
"nondairymilk",275,"PRODUITS LAITIERS / SUBSTITUTS","Substituts ou succédanés de lait",FALSE
"nondairyprod",276,"PRODUITS LAITIERS / SUBSTITUTS","Autres produits et substituts non laitiers",FALSE
"flour",278,"DRIED/PROCESSED/OTHER","Farine de blé",FALSE
"dough",279,"DRIED/PROCESSED/OTHER","Pâte ou mélange à base de farine de blé non cuit mangé, goûté ou léché",FALSE
"oflour",280,"DRIED/PROCESSED/OTHER","Autres farines",FALSE
"pbmeat",281,"DRIED/PROCESSED/OTHER","Substituts de viande à base de plantes",FALSE
"tofu",282,"DRIED/PROCESSED/OTHER","Tofu",FALSE
"othermeatsub",283,"DRIED/PROCESSED/OTHER","Autres substituts de viande d’origine végétale",FALSE
"hummus",284,"DRIED/PROCESSED/OTHER","Houmous (à l’exclusion du houmous maison)",FALSE
"dietsup",285,"DRIED/PROCESSED/OTHER","Suppléments alimentaires",FALSE
"mealrepbev",286,"DRIED/PROCESSED/OTHER","Boissons vendues comme substitut de repas",FALSE
"protpowder",287,"DRIED/PROCESSED/OTHER","Poudre de protéine",FALSE
"probiotics",288,"DRIED/PROCESSED/OTHER","Probiotiques",FALSE
