"variable_name","exposure_number","category_en","category_fr","exposure_en","exposure_fr","is_foodbook1_only"
"pate",216,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Pâté/meat spread","Pâté/viande à tartiner",FALSE
"organ",217,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Any organ meats","Abats",FALSE
"vliver",218,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Veal or calf liver","Foie de veau",FALSE
"rawliver",219,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Veal or calf liver consumed raw or undercooked","Foie de veau cru ou pas assez cuit",FALSE
"oorgan",220,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Other organ meat","Autres abats",FALSE
"goat",221,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Goat","Chèvre",FALSE
"lamb",222,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Lamb","Agneau",FALSE
"horse",223,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Horse","Chèvre",FALSE
"driedmeat",224,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Any dried/cured meat products","Produits de viande séchée",FALSE
"deer",225,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Hunted or farmed deer1","Chevreuil chassé ou d’élevage",FALSE
"huntedmeats",226,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Other hunted meats1","Autres viandes chassées",FALSE
"bologna",227,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Bologna*","Bologne*",TRUE
"salami",228,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Salami*","Salami*",TRUE
"pepperoni",229,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Pepperoni*","Pepperoni*",TRUE
"kielbasa",230,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Kielbasa*","Saucisse Kielbasa*",TRUE
"sausage",231,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Sausage*","Saucisses*",TRUE
"Q90",232,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Shawarma or donair","Shawarma ou viande à donair*",FALSE
"seafood",234,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Any seafood","Produits de la mer",FALSE
"anyfish",235,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Any fish","Poisson",FALSE
"fishsmoke",236,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Smoked fish","Poisson fumé",FALSE
"fishraw",237,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Raw fish","Poisson cru",FALSE
"shellfish",238,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Any shellfish","Mollusques",FALSE
"mussels",239,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Mussels","Moules",FALSE
"clams",240,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Clams","Palourdes",FALSE
"shrimp",241,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Shrimp/prawns","Crevettes/langoustines",FALSE
"oysters",242,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Any oysters","Huîtres",FALSE
"oysters_r",243,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Raw oysters","Huîtres crues",FALSE
"scallops",244,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Scallops*","Pétoncles*",TRUE
"crab",245,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Crab*","Crabe*",TRUE
"lobster",246,"FISH & SEAFOOD","POISSONS & FRUITS DE MER","Lobster*","Homard*",TRUE
"egg",248,"EGGS","EGGS","Any eggs","Œufs",FALSE
"eggraw",249,"EGGS","EGGS","Raw or undercooked eggs","Crus ou pas assez cuits",FALSE
"icecream",251,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Ice cream","Crème glacée",FALSE
"milkdess",252,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Desserts containing milk or cream","Desserts contenant du lait ou de la crème",FALSE
"milkunpas",253,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Unpasteurized dairy milk (not including cheese)","Produit laitier non pasteurisé (cru) (excluant le fromage)",FALSE
"yogurt",254,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Yogurt","Yogourt",FALSE
"milkpas",255,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Pasteurized dairy milk*","Lait pasteurisé*",TRUE
"pwdmilk",256,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Powdered milk product*","Lait en poudre*",TRUE
"whipcream",257,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Whipped/whipping cream*","Crème à fouetter/fouettée*",TRUE
"sourcream",258,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Sour cream*","Crème sure*",TRUE
"anycheese",260,"CHEESE","CHEESE","Any cheese","Fromage",FALSE
"gouda",261,"CHEESE","CHEESE","Gouda","Gouda",FALSE
"feta",262,"CHEESE","CHEESE","Feta","Feta",FALSE
"scheese",263,"CHEESE","CHEESE","Brie, camembert or other soft cheese","Brie, camembert ou autre fromage à pâte molle",FALSE
"gcheese",264,"CHEESE","CHEESE","Cheese made from goats milk","Fromage de lait de chèvre",FALSE
"cheeseunp",265,"CHEESE","CHEESE","Any cheese made with unpasteurized milk","Fromage fait de lait non pasteurisé",FALSE
"cheddar",266,"CHEESE","CHEESE","Cheddar*","Cheddar*",TRUE
"mozz",267,"CHEESE","CHEESE","Mozzarella*","Mozzarella*",TRUE
"parm",268,"CHEESE","CHEESE","Parmesan*","Parmesan*",TRUE
"hrdcheese",269,"CHEESE","CHEESE","Other cheeses sold as blocks/wheels*","Fromage généralement vendu en bloc /meule*",TRUE
"procheese",270,"CHEESE","CHEESE","Processed cheese*","Fromage transformé*",TRUE
"bvcheese",271,"CHEESE","CHEESE","Blue-veined cheese*","Fromages à pâte persillée*",TRUE
"fcheese",272,"CHEESE","CHEESE","Cottage, ricotta or other fresh cheese*","Cottage, ricotta ou autre fromage frais*",TRUE
"gscheese",273,"CHEESE","CHEESE","Goat/sheep milk cheese*","Fromage de lait de chèvre/brebis*",TRUE
"nondairymilk",275,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Non-dairy milk","Substituts ou succédanés de lait",FALSE
