"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"animalcont",346,"ANIMAL CONTACT","Any contact with animals, animal waste, habitat or food*",TRUE
"animalh",347,"ANIMAL CONTACT","Companion animals present in the home",FALSE
"domanim",348,"ANIMAL CONTACT","Any contact with companion animals",FALSE
"cat",349,"ANIMAL CONTACT","Dog",FALSE
"dog",350,"ANIMAL CONTACT","Cat",FALSE
"reptileoramphi",351,"ANIMAL CONTACT","Reptile or amphibian",FALSE
"rept",352,"ANIMAL CONTACT","Reptile*",TRUE
"amphi",353,"ANIMAL CONTACT","Amphibian*",TRUE
"rodent",354,"ANIMAL CONTACT","Rodent",FALSE
"rabbit",355,"ANIMAL CONTACT","Rabbit",FALSE
"hedgehog",356,"ANIMAL CONTACT","Hedgehog",FALSE
"bird",357,"ANIMAL CONTACT","Bird",FALSE
"aquari",358,"ANIMAL CONTACT","Fish or aquarium*",TRUE
"petwaste",359,"ANIMAL CONTACT","Handle pet waste or clean litter box/pet enclosure",FALSE
"petdiarr",360,"ANIMAL CONTACT","Contact with pet with diarrhea",FALSE
"petfood",361,"ANIMAL CONTACT","Handled any pet food or treats",FALSE
"animfddry",362,"ANIMAL CONTACT","Handled any dry pet food",FALSE
"animfdcan",363,"ANIMAL CONTACT","Handled any canned/wet pet food*",TRUE
"animfdraw",364,"ANIMAL CONTACT","Handled any raw pet food (store-bought or home-made)",FALSE
"animfdtreat",365,"ANIMAL CONTACT","Handled any raw treats derived from animal parts",FALSE
"animfdpr",366,"ANIMAL CONTACT","Handled any processed animal treats",FALSE
"animfdrod",367,"ANIMAL CONTACT","Handled any rodents for reptiles",FALSE
"rodentsinsect",368,"ANIMAL CONTACT","Handled any rodents or insects for reptiles*",TRUE
"farman",369,"ANIMAL CONTACT","Handled any farm animals/livestock or their waste",FALSE
"cattle",370,"ANIMAL CONTACT","Cattle",FALSE
"poultry",371,"ANIMAL CONTACT","Poultry",FALSE
"pig",372,"ANIMAL CONTACT","Pig",FALSE
"sheepgoat",373,"ANIMAL CONTACT","Sheep or goat",FALSE
"horsecontact",374,"ANIMAL CONTACT","Horse (contact with)*",TRUE
"livefarm",375,"ANIMAL CONTACT","Live on farm or country property",FALSE
"visitfarm",376,"ANIMAL CONTACT","Visit or work on a farm, petting zoo or fair",FALSE
"pettingzoo",377,"ANIMAL CONTACT","Visited any petting zoo*",TRUE
"farmvisit",378,"ANIMAL CONTACT","Visited any farm or barn*",TRUE
"fairvisit",379,"ANIMAL CONTACT","Visited any agricultural fair*",TRUE
"petstorevisit",380,"ANIMAL CONTACT","Visited any pet store*",TRUE
